company,report_year,indicator_name,value,unit,confidence,source_page,source_section,notes
AIB,2024,Total Scope 1 GHG Emissions,2875,tCO2e,1,79,"Scope 1, 2 & 3 GHG emissions",The value for Total Scope 1 GHG Emissions for the year 2024 is extracted from a data table detailing the breakdown of AIB Group's GHG emissions.
AIB,2024,Total Scope 2 GHG Emissions,4391,tCO2e,1,79,"Table 1: Breakdown of AIB Group Scope 1, 2 & 3 and total GHG emissions","The value for 'Gross location-based Scope 2 GHG emissions' for the year 2024 is 4,391 tCO2e."
AIB,2024,Total Scope 3 GHG Emissions,1067519,tCO2e,1,79,"Table 1: Breakdown of AIB Group Scope 1, 2 & 3 and total GHG emissions",The value for Total Scope 3 GHG Emissions for 2024 is found in Table 1 on page 79.
AIB,2024,GHG Emissions Intensity,218,tCO2e/€M,1,80,Table 5: GHG intensity based on net revenue,"The GHG emissions intensity for 2024 is provided in a data table, showing an increase from 2023."
AIB,2024,Total Energy Consumption,33028,MWh,1,78,Energy consumption and mix,"The total energy consumption for 2024 is provided in a data table on page 78, under the section 'Energy consumption and mix'. The value is calculated as the sum of fossil, nuclear, and renewable energy consumption."
AIB,2024,Renewable Energy Percentage,,%,0,0,,Not found by AI Agent
AIB,2024,Net Zero Target Year,2030,Year,1,66,Decarbonisation Journey,AIB aims to achieve Net Zero in its own operations by 2030.
AIB,2024,Green Financing Volume,,€ Millions,0,0,,Not found by AI Agent
AIB,2024,Total Employees,10469,FTE,1,29,Operating expenses,The staff numbers at period end for 2024 are provided in a data table under the section discussing operating expenses.
AIB,2024,Female Employees,43,%,1,5,Sustainability Performance,The percentage of women in management positions is reported as 43% for 2024.
AIB,2024,Gender Pay Gap,17.8,%,1,94,Gender Pay Gap Report,The Gender Pay Gap for AIB ROI in 2024 is reported as 17.8%.
AIB,2024,Training Hours per Employee,,Hours,0,0,,Not found by AI Agent
AIB,2024,Employee Turnover Rate,12.6,%,1,96,"Supplementary performance measures S1-6, S1-17",The employee turnover rate for 2024 is provided in a data table under the section discussing employee characteristics and performance measures.
AIB,2024,Work-Related Accidents,,Count,0,0,,Not found by AI Agent
AIB,2024,Collective Bargaining Coverage,,%,0,0,,Not found by AI Agent
AIB,2024,Board Female Representation,40,%,1,126,Governance Report,"The Board Diversity Policy target for female representation is at least 40%, and this target was achieved in 2024."
AIB,2024,Board Meetings,,Count,0,0,,Not found by AI Agent
AIB,2024,Corruption Incidents,,Count,0,0,,Not found by AI Agent
AIB,2024,Avg Payment Period to Suppliers,,Days,0,0,,Not found by AI Agent
AIB,2024,Suppliers Screened for ESG,,%,0,0,,Not found by AI Agent
BBVA,2024,Total Scope 1 GHG Emissions,39859,tCO2e,1,99,"GHG EMISSIONS BROKEN DOWN BY SCOPE 1, 2 AND 3 (EXCEPT FINANCED EMISSIONS) (BBVA GROUP)","The table provides a breakdown of GHG emissions by scope for the BBVA Group, including estimates for 2024."
